"nr_crt","autoritate_tutelara","intreprindere","cui","personal","calitate_membru","suma","indemnizatie_variabila","suma_num","indemnizatie_variabila_num"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Mitu Anca","Membru CA/CS","20,512","","20512","0"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Grăjdan Marius","Membru CA/CS","","","0","0"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Grăjdan Marius","Director/directorat","41,027","","41027","0"
"32","SECRETARIATUL GENERAL AL GUVERNULUI","TRANSPORT ROMANIA HIDROGEN S.R.L.","50346389","Insolventa/Diverse","Insolventa/Diverse","","","0","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Teodor Dulceata","Membru CA/CS","8,700","","8700","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Bruma Vasile","Membru CA/CS","8,700","","8700","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Arat Oana","Membru CA/CS","8,700","","8700","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Tudose Mariana","Membru CA/CS","8,700","","8700","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Elena Mateescu","Director/directorat","38,000","","38000","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Florinela Georgescu","Director/directorat","27,500","","27500","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Rodica Dumitrache","Director/directorat","27,500","","27500","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Catalin Ostroveanu","Director/directorat","27,500","","27500","0"
"33","MINISTERUL MEDIULUI, APELOR SI PADURILOR","Administrația Națională de Meteorologie RA","11672708","Mircea Catalin Florin","Director/directorat","30,000","","30000","0"
"34","MINISTERUL MEDIULUI, APELOR SI PADURILOR","REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA","1590120","Apostu Adrian-Dănuț","Membru CA/CS","12,464","","12464","0"
"34","MINISTERUL MEDIULUI, APELOR SI PADURILOR","REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA","1590120","Lupu Constantin-Codrin","Membru CA/CS","12,464","","12464","0"
"34","MINISTERUL MEDIULUI, APELOR SI PADURILOR","REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA","1590120","Ciobanu Sorin Călin","Membru CA/CS","12,464","","12464","0"
"34","MINISTERUL MEDIULUI, APELOR SI PADURILOR","REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA","1590120","Chiriloiu Armand","Membru CA/CS","12,464","","12464","0"
