"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Bruma Vasile,Membru CA/CS,"8,700",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Arat Oana,Membru CA/CS,"8,700",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Tudose Mariana,Membru CA/CS,"8,700",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Elena Mateescu,Director/directorat,"3 8,000",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Florinela Georgescu,Director/directorat,"2 7,500",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Rodica Dumitrache,Director/directorat,"27,500",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Catalin Ostroveanu,Director/directorat,"2 7,500",-
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Mircea Catalin Florin,Director/directorat,"3 0,000",-
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Apostu Adrian-Dănuț,Membru CA/CS,"1 2,464",-
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Nedelcu Corvin,Membru CA/CS,"1 2,464",-
"","MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Lupu Constantin-Codrin,Membru CA/CS,"1 2,464",-
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Ciobanu Sorin Călin,Membru CA/CS,"1 2,464",-
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Chiriloiu Armand,Membru CA/CS,"1 2,464",-
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Sîiulescu Marius-Dan,Director/directorat,23316/46632,-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Adam Relu,Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Banciu Ionuț-Sorin,Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Dănilă Alin-Mihael,Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,"Dragomir OanaSilvia",Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Molnar Ervin,Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Popescu Elena,Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,"Ștefan ValentinLaurențiu",Membru CA/CS,"1 4,832",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,"Chițescu ȘtefanBogdan",Director/directorat,"3 4,149",-
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Hodorog Gabriela,Director/directorat,"2 6,000",-
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Bălan Jean Florin,Membru CA/CS,"1 1,457",-
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Mureșan Claudiu Marinel,Membru CA/CS,"1 1,457",-
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Ardelean Felix Corneliu,Membru CA/CS,"1 1,457",-
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Timiș Iuliana Adriana,Director/directorat,"3 3,977",-
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Simion Melania Oana,Director/directorat,"2 4,000",-
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Bârcă Iuliana Cristina,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Boagiu Anca Daniela,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Săsărman Monica,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Marcu Mirel Alexandru,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Ursu Mihăiță,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Idolu Iulian Daniel,Membru CA/CS,"2 4,148",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Iordache Costin Ionuț,Director/directorat,"3 7,000",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Narcis Obeadă,Director/directorat,"3 6,131",
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Transporturi Aeriene Române -TAROM",477647,Farcaș Dorian,Director/directorat,"3 6,131",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Mihălțan Cosmin Florin,Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Bunduc Constantin Gabriel,Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Bârchi Elena Mirela,Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Bachide Eduard,Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Bumbac Georgeta,Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,"Diaconu Cătălin -Reprezentant FondulProprietatea",Membru CA/CS,"6 9,840",
38,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Aeroporturi București,26490194,Bulgaru Gabriel,Director/directorat,"6 9,723",
39,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Olteanu Adrian,Membru CA/CS,"6,978",-
39,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Barbu Nelu Vasile,Membru CA/CS,"6,978",-
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Osman Akan,Membru CA/CS,"6,978",-
39,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Turmac George Adrian,Membru CA/CS,"6,978",-
39,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Purcăreață Valentin,Membru CA/CS,"6,978",-
39,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Grup Exploatare şi Întreţinere Palat C.F.R.,14893410,Săcăreanu Vlad,Director/directorat,"2 8,000",-
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Măroiu Marian,Director/directorat,"2 9,000",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Năvală Steluța Petronela,Director/directorat,"2 4,000",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Lixandru Valentin Ștefan,Director/directorat,"1 4,060",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Cojocaru Nicu Alexandru,Director/directorat,"1 4,060",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Oprea Manuel- Florin,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Nemțescu Cristian Constantin,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Simion Lucian Eduard,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Haschka Luiza Mihaela,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Basangiac Constantin,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Popescu Mitică,Membru CA/CS,"5,100",
40,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiFluviale Giurgiu",1284717,Costea Ionuț,Membru CA/CS,"5,100",
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Bumbac Georgeta,Membru CA/CS,"1 2,212",-
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Voicu Ion Laurențiu,Membru CA/CS,"1 2,212",-
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Cheța Voicu,Membru CA/CS,"1 2,212",-
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Goidea Florin,Membru CA/CS,"12,212",-,
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Goidea Florin,Director/directorat,"3 7,344",-,
41,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională Administratia Canalelor Navigabile,11087755,Popescu Cornelia,Director/directorat,"3 1,120",-,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Anton Cristian,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Mainescu Marcel,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Teighiu- Jurj Stana Simona,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Novac Aurelian,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Trușcă Ștefania,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Mocan Marian,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Dumitru Matei,Membru CA/CS,"20,000",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Taropa Lucian-Dorel,Director/directorat,"26,039",-,
"",,Traian Vuia,,,,,,
"",,Societatea Națională Aeroportul International Timisoara-,,,,,,
42,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11178217,Ilyes Simona,Director/directorat,"1 7,360",-,
"",,Traian Vuia,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Damian Ion,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Mihalache Costin,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Pistol Cristian-Ovidiu-Cătălin,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Buzașu Septimiu,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Bîrchi Ileana-Mirela,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Marcu Mirel Alexandru,Membru CA/CS,"2 7,024",,"81,072"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Pistol Cristian-Ovidiu-Cătălin,Director/directorat,"5 6,322",,"1 68,966"
"",,Rutiere,,,,,,
"",,Compania Națională de Administrare a Infrastructurii,,,,,,
43,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,16054368,Mașala Ionuț - Laurențiu,Director/directorat,"4 6,935",,"1 40,805"
"",,Rutiere,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Popa Gabriel,Membru CA/CS,"10,300",,"30,900"
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Preoteasa Traian,Membru CA/CS,"10,300",,"30,900"
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Flutur Sorin-Georgel,Membru CA/CS,"10,300",,"30,900"
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Stancu Marin,Membru CA/CS,"10,300",,"30,900"
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Mașala Ionuț - Laurențiu,Membru CA/CS,"10,300",-,
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Bucureanu Victoraș Florian,Membru CA/CS,"10,300",-,
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Drăgan Mihai,Membru CA/CS,"10,300",-,
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Preoteasa Traian,Director/directorat,"44,000",,"132,000"
"",,“C.F.R. Călători”,,,,,,
"",,Societatea Naţională de Transport Feroviar de Călători,,,,,,
44,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,11054545,Hanganu Aida,Director/directorat,"43,000",,"129,000"
"",,“C.F.R. Călători”,,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Manole Mihai Victor,Membru CA/CS,"8,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Hanganu Aida,Membru CA/CS,"8,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Sandu Raluca Mihaela,Membru CA/CS,"8,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Moraru Liviu Alexandru,Membru CA/CS,"8,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Vasilescu Aurelian Bogdan,Membru CA/CS,"8,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Ilie Laurențiu Nicolae,Director/directorat,"3 3,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",,"Societatea Comerciala de Reparatii Locomotive ""CFR",,,,,,
45,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,14257595,Grosariu Oana,Director/directorat,"3 0,000",-,
"",,"SCRL"" BRASOV",,,,,,
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Naţională de Transport Feroviar de Marfă ""CFRMarfă""",11054537,Diaconescu Radu,Membru CA/CS,"2,790",-
46,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Naţională de Transport Feroviar de Marfă ""CFRMarfă""",11054537,Krall Mazilu Ion,Membru CA/CS,"2,790",-
46,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Naţională de Transport Feroviar de Marfă ""CFRMarfă""",11054537,Șerbănescu Valentina,Membru CA/CS,"2,790",-
46,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Naţională de Transport Feroviar de Marfă ""CFRMarfă""",11054537,Anoaica Dragoș,Membru CA/CS,"2,790",-
46,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Naţională de Transport Feroviar de Marfă ""CFRMarfă""",11054537,Constantin Violeta,Membru CA/CS,"2,790",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Munteanu Ștefaniță,Membru CA/CS,"5,128",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Tănăsuică Nicolae - Mugurel,Membru CA/CS,"5,128",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Godja - Tătar Renata,Membru CA/CS,"5,128",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Costea Ionuț,Membru CA/CS,"5,128",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Matei Răzvan - Marian,Membru CA/CS,"5,128",-
47,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,ROFERSPED,9825567,Batalu Sorin - Gabriel,Director/directorat,"1 8,804",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Girla Laura Daniela,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Branza Vladut,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Apostol Roman Picu,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Mirica Cristian,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Vasilache Nicusor,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Munteanu Cristian Eugen,Membru CA/CS,"5,700",-
48,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Fatu Simona,Membru CA/CS,"5,700",-
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională Administrația Porturilor DunăriiMaritime SA - Galați",11776466,Costea Marcela Daniela,Director/directorat,"3 7,176",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Ardelean Felix-Corneliu,Membru CA/CS,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Fatu Simona -Carmen,Membru CA/CS,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Mihu Stefan,Membru CA/CS,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Monea Gabriel,Membru CA/CS,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Teseleanu George,Membru CA/CS,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Artagea Bogdan - Ionut,Director/directorat,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Acatrinei Horia - Mihail,Director/directorat,"2 3,280",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Artagea Bogdan - Ionut,Director/directorat,"6 9,840",-
49,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Națională Aeroportul Internațional MihailKogalniceanu - Constanța",11212645,Acatrinei Horia - Mihail,Director/directorat,"6 9,374",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Bogdan Pascu,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Stefan Ionita,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Catalin Urtoi,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Marius Sorin Ovidiu Bota,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Ion Cosmin Petrescu,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Budescu Gabriel,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Simion Lucian Eduard,Membru CA/CS,"8,591",-
50,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Nationala de Investitii Rutiere,36727850,Budescu Gabriel,Director/directorat,"4 9,288",-
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Susnea Florentina,Membru CA/CS,"7 0,275",,
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Cojoc Marius Adrian,Director/directorat,71000+71000,,"62,560"
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Ilie Laurentiu Andrei,Membru CA/CS,"7 0,275",,
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Coman Constanța,Membru CA/CS,"7 0,275",,
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Teodorescu Mihai,Membru CA/CS,"7 0,275",,
